id,x1,x2,x3,x4
ejemplo_0001,2.16279541,-0.15620382,1.52249089,1.65824076
ejemplo_0002,-0.33252016,-1.51252489,-0.74678853,2.48168432
ejemplo_0003,-0.67816516,-1.48254252,1.32306735,0.53641452
ejemplo_0004,-0.81252663,-0.39666178,0.80564212,-2.38488356
ejemplo_0005,1.11282146,0.39086547,1.85731970,-0.78875571
ejemplo_0006,-0.85655470,1.90412707,1.44050521,0.88793538
ejemplo_0007,-1.64834898,-0.63973431,-0.30206628,1.31444933
ejemplo_0008,-1.57711791,1.50301207,1.67408804,1.89669274
ejemplo_0009,-1.30573622,-1.21531243,1.38645484,1.79280184
ejemplo_0010,-1.47446448,1.32280710,-2.49155307,2.21472376
ejemplo_0011,-2.45185030,-1.18520910,2.03686553,-2.34874399
ejemplo_0012,-2.49821307,0.66322044,-2.46049594,-0.55338346
