id,x1,x2,x3,x4,etiqueta
train_0001,2.16279541,-0.15620382,1.52249089,1.65824076,0
train_0002,-0.33252016,-1.51252489,-0.74678853,2.48168432,0
train_0003,-0.67816516,-1.48254252,1.32306735,0.53641452,0
train_0004,-0.81252663,-0.39666178,0.80564212,-2.38488356,0
train_0005,1.11282146,0.39086547,1.85731970,-0.78875571,0
train_0006,-0.85655470,1.90412707,1.44050521,0.88793538,0
train_0007,-1.64834898,-0.63973431,-0.30206628,1.31444933,0
train_0008,-1.57711791,1.50301207,1.67408804,1.89669274,0
train_0009,-1.30573622,-1.21531243,1.38645484,1.79280184,0
train_0010,-1.47446448,1.32280710,-2.49155307,2.21472376,0
train_0011,-2.45185030,-1.18520910,2.03686553,-2.34874399,0
train_0012,-2.49821307,0.66322044,-2.46049594,-0.55338346,1
train_0013,-0.88358646,0.91351560,-0.06673720,-1.64364405,0
train_0014,-0.64059191,0.14550446,-1.62485776,-0.89009585,0
train_0015,-1.09622705,-0.78107207,-2.11398042,0.06056275,1
train_0016,-0.25925568,0.25417709,2.26587892,-0.28030647,0
train_0017,-0.94922447,0.27434703,1.37110082,2.41378585,0
train_0018,-0.69472817,-1.80115091,2.30722545,-1.66950606,0
train_0019,-1.10217774,1.30546599,-1.32263718,1.18058746,0
train_0020,-2.42001610,0.90776990,1.97611803,-1.12057565,0
train_0021,-0.55760692,0.02433288,1.88075451,1.23888381,0
train_0022,-2.36650664,0.29177474,-2.03566915,0.83529703,0
train_0023,-1.16030112,2.35272013,1.85048423,-2.39359342,0
train_0024,-1.54974770,-1.74153417,-0.49195136,2.34023173,0
train_0025,-0.89430305,0.22997824,-1.68348309,-2.32397946,0
train_0026,1.76117924,-2.04981800,-1.56669378,2.39146284,1
train_0027,1.63784087,1.66183862,-0.80118350,1.97130806,1
train_0028,-1.98784724,0.30179279,1.28698380,1.31959978,0
train_0029,1.71330120,-1.38238474,-0.11461516,0.64559081,1
train_0030,-1.96932529,-0.18146652,1.22210138,0.13231640,0
train_0031,-0.38799403,-1.61313356,1.64070487,0.29221800,0
train_0032,-1.53332057,1.36544685,2.44154224,1.40729969,0
train_0033,1.09356821,2.01489111,-1.60428492,0.91565239,1
train_0034,-2.10983531,-0.42849395,-0.02475064,2.31958206,0
train_0035,-1.85310783,-1.92476316,-0.40492012,1.27013349,0
train_0036,-2.33320377,1.29108820,1.26594732,-1.01719543,0
train_0037,1.53557620,1.32430834,-1.44530632,-1.24305657,1
train_0038,-1.13034248,0.27379409,-1.58202581,1.47810840,0
train_0039,2.15576170,1.70849399,-1.76277030,-1.60016826,1
train_0040,-2.43740756,0.50121109,2.16727277,0.20864760,0
train_0041,1.92930468,-2.49318797,-1.16568780,0.44779762,1
train_0042,1.34208667,2.33912241,-0.62550687,1.21117900,1
train_0043,1.39852679,-0.39124836,-0.86162481,-2.23618900,0
train_0044,-0.95213532,-1.79198963,1.61349428,0.95844519,0
train_0045,2.41764410,-1.30452448,1.75149237,-1.19104943,0
train_0046,0.65328406,0.39423014,-1.68765374,-2.23741565,0
train_0047,-0.46630968,-1.41047154,0.51089793,-1.09363070,0
train_0048,0.27587146,-1.66928878,-1.42338939,1.16288053,1
train_0049,-1.45526286,2.36262394,0.91104183,1.15108116,0
train_0050,-2.37091909,-0.69740484,-0.44619774,-2.29475983,1
train_0051,-1.23345473,-1.08413166,1.00964480,0.57585438,0
train_0052,-0.61579945,0.73899713,2.29368300,-0.74633575,0
train_0053,-1.82706780,-0.01052779,0.96102722,-1.45192526,0
train_0054,-0.10616564,-1.75105383,2.12084031,0.83395557,0
train_0055,-2.42778050,-2.34774525,-1.65305949,-0.89197694,1
train_0056,-0.50213560,0.36251903,0.34676158,-0.84925448,0
train_0057,-0.24868406,1.48538162,-1.84535861,-0.88045448,1
train_0058,-1.76796608,0.39314428,-1.01030093,0.64612008,0
train_0059,0.33323459,-0.28083842,-0.66853793,-2.37724780,0
train_0060,2.31018679,-1.21109626,1.79002977,1.57943887,0
train_0061,0.12066954,-2.22048976,1.65913345,-0.51830906,1
train_0062,1.49194601,0.41049389,2.15231060,-2.18078926,0
train_0063,2.03576870,0.39491156,-0.17067018,0.18176131,0
train_0064,-1.43752957,-0.40733568,2.27328541,1.49191875,0
train_0065,0.27987297,1.88740943,2.48632820,2.38349212,0
train_0066,0.00462479,1.43456423,1.30729977,0.69039867,0
train_0067,2.14568426,1.13555966,-0.77554324,2.49866221,1
train_0068,-0.53432760,0.77096579,0.91851723,-0.11141784,0
train_0069,-1.96633971,1.81311771,1.36074472,1.00474222,0
train_0070,-1.47920489,-1.99911385,2.12062858,0.36074018,0
train_0071,1.56097971,0.60904420,1.09689243,-1.76892131,0
train_0072,-1.94413175,0.14899231,1.99906955,-1.45149112,0
train_0073,-1.83222461,-1.17423382,2.19511549,-0.73628337,0
train_0074,1.87699671,0.23227531,1.86518503,-1.36478356,0
train_0075,-1.33389378,-1.26483554,-2.14890490,-2.49403161,1
train_0076,-0.98823799,-0.91857277,2.38780652,-1.04181980,0
train_0077,0.81879841,-0.84117596,1.97194183,-0.17439644,0
train_0078,0.95150500,-2.47626164,-1.30294205,1.99814352,1
train_0079,-1.57512491,1.18043284,-1.07002105,0.25403784,1
train_0080,0.46247409,-0.17220197,2.39917388,1.63581193,0
train_0081,-0.49229075,-1.87882207,1.81219623,-0.65116698,0
train_0082,-0.61975579,-1.35995253,-1.61015321,-2.07616459,1
